,noc_code,position,low_wage,median_wage,high_wage,position_detail_link
39,(13100),Administrative officers     ,21.05,28.85,44.87,https://www.jobbank.gc.ca/marketreport/wages-occupation/12462/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
40,(13101),Property administrators     ,18.33,27.69,43.96,https://www.jobbank.gc.ca/marketreport/wages-occupation/17717/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
41,(13102),Payroll administrators     ,20.0,30.0,43.27,https://www.jobbank.gc.ca/marketreport/wages-occupation/25792/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
42,(13110),Administrative assistants     ,18.0,26.15,35.22,https://www.jobbank.gc.ca/marketreport/wages-occupation/24789/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
43,(13111),Legal administrative assistants     ,18.46,26.0,40.93,https://www.jobbank.gc.ca/marketreport/wages-occupation/26967/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
44,(13112),Medical administrative assistants     ,21.0,25.0,32.97,https://www.jobbank.gc.ca/marketreport/wages-occupation/26968/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
45,(13200),"Customs, ship and other brokers     ",17.76,27.39,49.59,https://www.jobbank.gc.ca/marketreport/wages-occupation/878/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
46,(13201),Production and transportation logistics coordinators     ,20.51,25.0,41.25,https://www.jobbank.gc.ca/marketreport/wages-occupation/27151/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
47,(14100),General office support workers     ,17.4,24.5,32.87,https://www.jobbank.gc.ca/marketreport/wages-occupation/12609/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
48,(14101),Receptionists     ,17.4,22.0,29.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/24391/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
49,(14102),Personnel clerks     ,24.0,26.0,38.46,https://www.jobbank.gc.ca/marketreport/wages-occupation/26972/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
50,(14103),Court clerks and related court services occupations     ,26.5,30.19,41.8,https://www.jobbank.gc.ca/marketreport/wages-occupation/17737/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
51,(14110),Survey interviewers and statistical clerks     ,17.4,27.0,30.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/2363/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
52,(14111),Data entry clerks     ,17.4,22.0,28.02,https://www.jobbank.gc.ca/marketreport/wages-occupation/19213/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
